date,Unnamed: 0,temperature,relative_humidity,dew_point,apparent_temperature,precipitation_probability,rain,surface_pressure,bike_stands,available_bike_stands
2023-08-19 01:00:00+00:00,9646.5,20.05,87.5,17.849999999999998,22.150000000000002,7.0,0.0,985.6,22.0,6.0
2023-08-19 02:00:00+00:00,9650.5,19.85,88.5,17.900000000000002,22.0,0.0,0.0,985.4,22.0,6.0
2023-08-19 03:00:00+00:00,9659.333333333334,20.099999999999998,86.5,17.8,22.05,0.0,0.0,985.2999999999998,22.0,6.0
2023-08-19 04:00:00+00:00,9665.111111111111,20.1,85.55555555555556,17.62222222222222,21.96666666666667,0.0,0.0,985.2111111111111,22.0,7.111111111111111
2023-08-19 05:00:00+00:00,9670.5,19.650000000000002,87.0,17.4,21.450000000000003,0.0,0.0,984.9499999999999,22.0,9.666666666666666
2023-08-19 06:00:00+00:00,9682.777777777777,19.633333333333333,87.88888888888889,17.566666666666666,21.544444444444444,0.0,0.0,985.1333333333332,22.0,12.777777777777779
2023-08-19 07:00:00+00:00,9686.222222222223,20.61111111111111,84.77777777777777,17.92222222222222,22.833333333333332,0.0,0.0,985.4000000000001,22.0,13.0
2023-08-19 08:00:00+00:00,9699.0,22.185714285714287,78.0,18.2,24.85,1.0,0.0,986.3,22.0,13.0
2023-08-19 09:00:00+00:00,9705.57142857143,23.600000000000005,74.57142857142857,18.885714285714283,26.614285714285717,3.142857142857143,0.0,987.2571428571429,22.0,15.857142857142858
2023-08-19 10:00:00+00:00,9710.5,24.95714285714286,69.0,19.0,27.8,5.0,0.0,987.25,22.0,15.0
2023-08-19 11:00:00+00:00,9721.0,26.5,61.285714285714285,18.428571428571427,28.428571428571427,10.0,0.0,987.2857142857143,22.0,16.285714285714285
2023-08-19 12:00:00+00:00,9726.0,27.45,56.142857142857146,18.02857142857143,30.085714285714285,18.666666666666668,0.0,987.1142857142858,22.0,15.714285714285714
2023-08-19 13:00:00+00:00,9737.333333333334,28.444444444444443,50.44444444444444,17.188888888888886,30.666666666666668,25.0,0.0,987.0777777777777,22.0,17.444444444444443
2023-08-19 14:00:00+00:00,9742.4,28.966666666666665,46.4,16.380000000000003,29.96,25.8,0.0,987.0600000000001,22.0,15.8
2023-08-19 15:00:00+00:00,9757.0,29.15,46.5,16.55,30.2,17.5,0.0,986.3,22.0,12.4
2023-08-19 16:00:00+00:00,9761.222222222223,29.0,48.22222222222222,17.0,30.366666666666667,10.444444444444445,0.0,985.9888888888888,22.0,18.333333333333332
2023-08-19 17:00:00+00:00,9775.777777777777,28.322222222222223,51.55555555555556,17.444444444444443,29.866666666666667,7.111111111111111,0.0,986.0999999999999,22.0,20.0
2023-08-19 18:00:00+00:00,9781.444444444445,27.700000000000003,52.0,17.0,29.06666666666667,9.333333333333334,0.0,986.188888888889,22.0,18.22222222222222
2023-08-19 19:00:00+00:00,9791.0,26.1,59.0,17.4,28.05,11.75,0.0,986.65,22.0,18.5
2023-08-19 20:00:00+00:00,9799.57142857143,23.7,72.28571428571429,18.242857142857144,26.157142857142855,12.428571428571429,0.0,987.1142857142858,22.0,21.857142857142858
2023-08-19 21:00:00+00:00,9805.166666666666,22.049999999999997,77.5,17.95,24.45,11.25,0.0,987.6,22.0,18.0
2023-08-19 22:00:00+00:00,9813.714285714286,21.314285714285713,83.14285714285714,18.257142857142856,23.771428571428572,10.6,0.0,988.1285714285714,22.0,16.0
2023-08-19 23:00:00+00:00,9818.0,20.5,89.5,18.7,23.150000000000002,8.5,0.0,988.4499999999999,22.0,16.666666666666668
2023-08-20 00:00:00+00:00,9826.5,19.8,90.5,18.25,22.25,4.6,0.0,988.3000000000001,22.0,16.0
2023-08-20 01:00:00+00:00,9831.666666666666,19.2,94.0,18.2,21.55,1.5,0.0,987.9,22.0,15.0
2023-08-20 02:00:00+00:00,9836.833333333334,19.2,94.5,18.3,21.55,3.0,0.0,987.7999999999998,22.0,15.166666666666666
2023-08-20 03:00:00+00:00,9843.0,19.439999999999998,93.5,18.349999999999998,21.849999999999998,8.8,0.0,987.9,22.0,17.0
2023-08-20 04:00:00+00:00,9852.0,19.8,93.0,18.549999999999997,22.35,16.0,0.0,988.05,22.0,15.625
2023-08-20 05:00:00+00:00,9855.5,20.0,93.0,18.849999999999998,22.75,16.0,0.0,988.0,22.0,15.0
2023-08-20 06:00:00+00:00,9865.5,20.0,95.5,19.25,22.900000000000002,10.2,0.0,988.0999999999999,22.0,15.0
2023-08-20 07:00:00+00:00,9868.285714285714,21.25,93.14285714285714,19.885714285714283,24.428571428571427,4.0,0.0,988.5142857142856,22.0,16.714285714285715
2023-08-20 08:00:00+00:00,9879.0,24.3,81.0,20.35,27.4,0.5,0.0,989.25,22.0,19.375
2023-08-20 09:00:00+00:00,9885.0,25.849999999999998,71.14285714285714,20.357142857142858,29.285714285714285,1.5714285714285714,0.0,989.9285714285714,22.0,20.142857142857142
2023-08-20 10:00:00+00:00,9890.285714285714,27.366666666666664,64.42857142857143,19.885714285714283,30.485714285714288,2.5,0.0,989.6428571428571,22.0,19.285714285714285
2023-08-20 11:00:00+00:00,9901.285714285714,28.37142857142857,57.0,18.985714285714288,31.685714285714287,2.4,0.0,989.5857142857142,22.0,18.857142857142858
2023-08-20 12:00:00+00:00,9903.714285714286,29.119999999999997,52.714285714285715,18.514285714285712,32.67142857142857,1.5,0.0,989.7142857142857,22.0,20.571428571428573
2023-08-20 13:00:00+00:00,9914.714285714286,30.0,49.285714285714285,18.228571428571428,33.528571428571425,0.42857142857142855,0.0,989.4857142857143,22.0,18.857142857142858
2023-08-20 14:00:00+00:00,9920.5,30.7,46.0,17.8,33.7,0.0,0.0,989.3,22.0,15.375
2023-08-20 15:00:00+00:00,9925.5,31.0,44.5,17.55,33.300000000000004,0.0,0.0,988.9500000000002,22.0,16.5
2023-08-20 16:00:00+00:00,9935.888888888889,30.814285714285713,43.22222222222222,16.84444444444445,32.544444444444444,0.0,0.0,988.6555555555556,22.0,14.88888888888889
2023-08-20 17:00:00+00:00,9942.5,30.342857142857145,41.0,15.6,31.65,0.0,0.0,988.525,22.0,16.75
2023-08-20 18:00:00+00:00,9953.857142857143,29.7,44.42857142857143,16.242857142857144,31.214285714285715,0.0,0.0,988.5,22.0,15.142857142857142
2023-08-20 19:00:00+00:00,9956.777777777777,28.577777777777776,51.888888888888886,17.68888888888889,30.95555555555556,0.0,0.0,988.5444444444444,22.0,10.777777777777779
2023-08-20 20:00:00+00:00,9969.0,25.65,65.5,18.6,28.45,0.0,0.0,988.85,22.0,10.625
2023-08-20 21:00:00+00:00,9972.5,22.7,74.0,17.8,24.8,0.0,0.0,989.1500000000001,22.0,9.0
2023-08-20 22:00:00+00:00,9980.5,21.7,76.5,17.3,23.3,0.0,0.0,989.4000000000001,22.0,8.166666666666666
2023-08-20 23:00:00+00:00,9988.0,21.28,77.5,17.2,22.8,0.0,0.0,989.6,22.0,8.0
2023-08-21 00:00:00+00:00,9993.42857142857,21.042857142857144,78.14285714285714,17.17142857142857,22.714285714285715,0.0,0.0,989.7142857142857,22.0,7.571428571428571
2023-08-21 01:00:00+00:00,9997.5,20.95,79.5,17.3,22.650000000000002,0.0,0.0,989.5999999999999,22.0,7.0
2023-08-21 02:00:00+00:00,10007.0,20.66,81.0,17.3,22.349999999999998,0.0,0.0,989.5,22.0,7.0
2023-08-21 03:00:00+00:00,10010.0,20.45,82.0,17.25,22.150000000000002,0.0,0.0,989.4499999999999,22.0,7.333333333333333
2023-08-21 04:00:00+00:00,10020.857142857143,20.4,84.28571428571429,17.599999999999998,22.214285714285715,0.0,0.0,989.3,22.0,7.857142857142857
2023-08-21 05:00:00+00:00,10028.333333333334,20.44545454545454,86.0,18.0,22.400000000000002,0.0,0.0,989.3499999999999,22.0,12.25
2023-08-21 06:00:00+00:00,10037.1,20.8375,84.8,18.22,22.86,0.0,0.0,989.5600000000001,22.0,18.1
2023-08-21 07:00:00+00:00,10049.9,23.08,77.6,18.94,25.2,0.0,0.0,989.86,22.0,20.4
2023-08-21 08:00:00+00:00,10057.0,24.955555555555556,72.5,19.75,27.45,0.0,0.0,990.15,22.0,21.4
2023-08-21 09:00:00+00:00,10066.333333333334,27.033333333333335,66.33333333333333,20.2,29.700000000000003,0.0,0.0,990.3333333333334,22.0,20.333333333333332
2023-08-21 10:00:00+00:00,10079.777777777777,28.877777777777776,57.888888888888886,19.700000000000003,31.799999999999997,0.0,0.0,990.2444444444445,22.0,16.555555555555557
2023-08-21 11:00:00+00:00,10086.5,30.38888888888889,50.0,18.85,33.7,0.0,0.0,990.1,22.0,19.7
2023-08-21 12:00:00+00:00,10096.0,31.38888888888889,44.5,17.8,34.55,0.0,0.0,989.85,22.0,15.2
2023-08-21 13:00:00+00:00,10108.1,31.939999999999998,40.8,16.96,34.760000000000005,0.0,0.0,989.5799999999999,22.0,14.1
2023-08-21 14:00:00+00:00,10112.9,32.260000000000005,39.6,16.759999999999998,34.839999999999996,0.0,0.0,989.46,22.0,13.6
2023-08-21 15:00:00+00:00,10128.09090909091,32.5,38.63636363636363,16.59090909090909,34.64545454545455,0.0,0.0,989.2909090909092,22.0,13.090909090909092
2023-08-21 16:00:00+00:00,10139.3,32.32000000000001,36.8,15.679999999999998,33.540000000000006,0.0,0.0,988.8,22.0,11.0
